Country,GDP_in_Mn
Afghanistan,20682
Albania,17210
Algeria,193056
Andorra,0
Angola,96426
Anguilla,0
Antigua and Barbuda,1809
Argentina,515353
Armenia,13868
Aruba,2952
Australia,1481460
Austria,481678
Azerbaijan,47429
Bahamas,13710
Bahrain,40707
Bangladesh,343279
Barbados,5339
Belarus,63664
Belgium,553781
Belize,2071
Benin,12129
Bermuda,0
Bhutan,2939
Bolivia,47052
Bosnia and Herzegovina,21343
Botswana,20873
Brazil,2062500
British Virgin Islands,0
Brunei,14281
Bulgaria,71746
Burkina Faso,16266
Burundi,3714
CAR,2485
Cabo Verde,2208
Cambodia,29309
Cameroon,42047
Canada,1832490
Caribbean Netherlands,2208
Cayman Islands,0
Chad,12547
Channel Islands,0
Chile,313561
China,15468100
Colombia,352810
Comoros,773
Congo,0
Costa Rica,63460
Croatia,64590
Cuba,0
Curaçao,0
Cyprus,26348
Czechia,259736
DRC,52475
Denmark,364546
Diamond Princess,0
Djibouti,2599
Dominica,590
Dominican Republic,90459
Ecuador,107730
Egypt,331360
El Salvador,28202
Equatorial Guinea,12263
Eritrea,8116
Estonia,33235
Eswatini,0
Ethiopia,99371
Faeroe Islands,0
Falkland Islands,0
Fiji,5671
Finland,289243
France,2876050
French Guiana,0
French Polynesia,0
Gabon,17893
Gambia,1870
Georgia,18888
Germany,4157120
Ghana,72264
Gibraltar,0
Greece,230500
Greenland,0
Grenada,1330
Guadeloupe,0
Guatemala,87629
Guinea,13603
Guinea-Bissau,1669
Guyana,4609
Haiti,9648
Honduras,25560
Hong Kong,402034
Hungary,177734
Iceland,26821
India,3257720
Indonesia,1208860
Iran,495694
Iraq,246932
Ireland,405185
Isle of Man,0
Israel,403961
Italy,2090450
Ivory Coast,49882
Jamaica,16717
Japan,5495420
Jordan,46451
Kazakhstan,177322
Kenya,109116
Kuwait,142999
Kyrgyzstan,8781
Laos,22013
Latvia,38102
Lebanon,60620
Liberia,3217
Libya,50424
Liechtenstein,0
Lithuania,57602
Luxembourg,73693
MS Zaandam,0
Macao,62158
Madagascar,13542
Malawi,7861
Malaysia,401985
Maldives,6213
Mali,19332
Malta,16338
Martinique,228
Mauritania,5697
Mauritius,15757
Mayotte,0
Mexico,1297750
Moldova,12793
Monaco,0
Mongolia,14960
Montenegro,5740
Montserrat,0
Morocco,129056
Mozambique,16294
Myanmar,71403
Namibia,14627
Nepal,33035
Netherlands,954931
New Caledonia,0
New Zealand,224943
Nicaragua,12459
Niger,10628
Nigeria,496122
North Macedonia,0
Norway,438623
Oman,84158
Pakistan,0
Palestine,0
Panama,75494
Papua New Guinea,22114
Paraguay,45376
Peru,244163
Philippines,389048
Poland,643274
Portugal,249912
Qatar,204008
Romania,263133
Russia,1667460
Rwanda,11062
Réunion,0
S. Korea,1744360
Saint Kitts and Nevis,1118
Saint Lucia,2069
Saint Martin,903
Saint Pierre Miquelon,960
San Marino,1672
Sao Tome and Principe,527
Saudi Arabia,790062
Senegal,28062
Serbia,56886
Seychelles,1739
Sierra Leone,4221
Singapore,391875
Sint Maarten,0
Slovakia,117399
Slovenia,58213
Somalia,8341
South Africa,386727
South Sudan,2796
Spain,1497080
Sri Lanka,89942
St. Barth,0
St. Vincent Grenadines,0
Sudan,0
Suriname,3919
Sweden,576720
Switzerland,740702
Syria,0
Taiwan,633695
Tajikistan,7838
Tanzania,64888
Thailand,547431
Timor-Leste,3413
Togo,6132
Trinidad and Tobago,23235
Tunisia,35150
Turkey,809555
Turks and Caicos,0
UAE,449130
UK,2927080
USA,22198100
Uganda,33620
Ukraine,147170
Uruguay,63421
Uzbekistan,55482
Vatican City,994
Venezuela,70106
Vietnam,282372
Western Sahara,0
Yemen,31385
Zambia,25272
Zimbabwe,25812
